,idnum,state,zip,region,typebldg,floor,room,basement,county,Uppm,log_radon
0,5081.0,MN,55735,5.0,1.0,1.0,3.0,N,AITKIN,0.502054,0.8329091229351040
1,5082.0,MN,55748,5.0,1.0,0.0,4.0,Y,AITKIN,0.502054,0.8329091229351040
2,5083.0,MN,55748,5.0,1.0,0.0,4.0,Y,AITKIN,0.502054,1.0986122886681100
3,5084.0,MN,56469,5.0,1.0,0.0,4.0,Y,AITKIN,0.502054,0.09531017980432490
4,5085.0,MN,55011,3.0,1.0,0.0,4.0,Y,ANOKA,0.428565,1.1631508098056800
5,5086.0,MN,55014,3.0,1.0,0.0,4.0,Y,ANOKA,0.428565,0.9555114450274360
6,5087.0,MN,55014,3.0,1.0,0.0,4.0,Y,ANOKA,0.428565,0.47000362924573600
7,5088.0,MN,55014,3.0,1.0,0.0,2.0,Y,ANOKA,0.428565,0.09531017980432490
8,5089.0,MN,55014,3.0,1.0,0.0,4.0,Y,ANOKA,0.428565,-0.22314355131421000
9,5090.0,MN,55014,3.0,1.0,0.0,4.0,Y,ANOKA,0.428565,0.26236426446749100
10,5091.0,MN,55014,3.0,1.0,0.0,4.0,Y,ANOKA,0.428565,0.26236426446749100
11,5092.0,MN,55014,3.0,1.0,0.0,4.0,Y,ANOKA,0.428565,0.336472236621213
12,5093.0,MN,55014,3.0,1.0,0.0,4.0,Y,ANOKA,0.428565,0.4054651081081640
13,5094.0,MN,55025,3.0,1.0,0.0,2.0,Y,ANOKA,0.428565,-0.6931471805599450
14,5095.0,MN,55025,3.0,0.0,0.0,0.0, ,ANOKA,0.428565,0.1823215567939550
15,5096.0,MN,55025,3.0,1.0,0.0,0.0,Y,ANOKA,0.428565,1.5260563034950500
16,5097.0,MN,55025,3.0,1.0,0.0,4.0,Y,ANOKA,0.428565,0.336472236621213
17,5098.0,MN,55025,3.0,1.0,0.0,4.0,Y,ANOKA,0.428565,0.7884573603642700
18,5099.0,MN,55038,3.0,1.0,0.0,4.0,Y,ANOKA,0.428565,1.791759469228060
19,5100.0,MN,55070,3.0,1.0,0.0,2.0,Y,ANOKA,0.428565,1.2237754316221200
20,5101.0,MN,55303,3.0,1.0,0.0,2.0,Y,ANOKA,0.428565,0.6418538861723950
21,5102.0,MN,55303,3.0,0.0,0.0,0.0, ,ANOKA,0.428565,1.7047480922384300
22,5103.0,MN,55303,3.0,1.0,0.0,4.0,Y,ANOKA,0.428565,1.856297990365630
23,5104.0,MN,55303,3.0,1.0,0.0,5.0,Y,ANOKA,0.428565,0.6931471805599450
24,5105.0,MN,55303,3.0,1.0,0.0,4.0,Y,ANOKA,0.428565,1.9021075263969200
25,5106.0,MN,55303,3.0,1.0,0.0,2.0,Y,ANOKA,0.428565,1.1631508098056800
26,5107.0,MN,55303,3.0,1.0,0.0,2.0,Y,ANOKA,0.428565,1.9315214116032100
