"","X","idnum","state","state2","stfips","zip","region","typebldg","floor","room","basement","windoor","rep","stratum","wave","starttm","stoptm","startdt","stopdt","activity","pcterr","adjwt","dupflag","zipflag","cntyfips","county","fips","Uppm","county_code","log_radon"
"1",0,5081,"MN","MN",27,55735,5,1,1,3,"N",NA,2,4,41,930,930,12088,12288,2.2,9.7,1146.49919,1,0,1,"AITKIN",27001,0.502054,1,0.832909122935104
"2",1,5082,"MN","MN",27,55748,5,1,0,4,"Y",NA,5,2,40,1615,1615,11888,12088,2.2,14.5,471.366223,0,0,1,"AITKIN",27001,0.502054,1,0.832909122935104
"3",2,5083,"MN","MN",27,55748,5,1,0,4,"Y",NA,3,2,42,1030,1515,20288,21188,2.9,9.6,433.316718,0,0,1,"AITKIN",27001,0.502054,1,1.09861228866811
"4",3,5084,"MN","MN",27,56469,5,1,0,4,"Y",NA,2,2,24,1410,1410,122987,123187,1,24.3,461.62367,0,0,1,"AITKIN",27001,0.502054,1,0.0953101798043249
"5",4,5085,"MN","MN",27,55011,3,1,0,4,"Y",NA,3,2,40,600,600,12888,13088,3.1,13.8,433.316718,0,0,3,"ANOKA",27003,0.428565,2,1.16315080980568
"6",5,5086,"MN","MN",27,55014,3,1,0,4,"Y",NA,5,2,22,900,1300,120287,121187,2.5,12.8,471.366223,0,0,3,"ANOKA",27003,0.428565,2,0.955511445027436
"7",6,5087,"MN","MN",27,55014,3,1,0,4,"Y",NA,5,2,28,2000,2025,121887,122087,1.5,14.5,471.366223,0,0,3,"ANOKA",27003,0.428565,2,0.470003629245736
"8",7,5088,"MN","MN",27,55014,3,1,0,2,"Y",NA,3,2,33,800,1000,122587,122787,1,18,433.316718,0,0,3,"ANOKA",27003,0.428565,2,0.0953101798043249
"9",8,5089,"MN","MN",27,55014,3,1,0,4,"Y",NA,3,2,36,1000,1730,10188,10188,0.7,25.1,433.316718,0,0,3,"ANOKA",27003,0.428565,2,-0.22314355131421
"10",9,5090,"MN","MN",27,55014,3,1,0,4,"Y",NA,2,2,44,900,900,20288,20288,1.2,17.5,461.62367,0,0,3,"ANOKA",27003,0.428565,2,0.262364264467491
"11",10,5091,"MN","MN",27,55014,3,1,0,4,"Y",NA,2,2,47,1040,1040,20288,20288,1.2,20.2,461.62367,0,0,3,"ANOKA",27003,0.428565,2,0.262364264467491
"12",11,5092,"MN","MN",27,55014,3,1,0,4,"Y",NA,5,2,4,610,610,22988,30388,1.3,23.3,471.366223,0,0,3,"ANOKA",27003,0.428565,2,0.336472236621213
"13",12,5093,"MN","MN",27,55014,3,1,0,4,"Y",NA,4,2,3,1130,1221,30388,31088,1.4,18.7,461.274696,0,0,3,"ANOKA",27003,0.428565,2,0.405465108108164
"14",13,5094,"MN","MN",27,55025,3,1,0,2,"Y",NA,2,2,22,815,815,121287,121487,0.4,0,461.62367,0,0,3,"ANOKA",27003,0.428565,2,-0.693147180559945
"15",14,5095,"MN","MN",27,55025,3,0,0,0," ",NA,5,2,26,1400,1400,121687,121887,1.1,18.8,471.366223,0,0,3,"ANOKA",27003,0.428565,2,0.182321556793955
"16",15,5096,"MN","MN",27,55025,3,1,0,0,"Y",NA,2,2,41,1600,1600,12688,12888,4.5,7,461.62367,0,0,3,"ANOKA",27003,0.428565,2,1.52605630349505
"17",16,5097,"MN","MN",27,55025,3,1,0,4,"Y",NA,1,2,43,1205,1205,12088,12288,1.3,33.2,485.435931,0,0,3,"ANOKA",27003,0.428565,2,0.336472236621213
"18",17,5098,"MN","MN",27,55025,3,1,0,4,"Y",NA,4,2,48,2000,2000,22188,22388,2.1,10.1,461.274696,0,0,3,"ANOKA",27003,0.428565,2,0.78845736036427
"19",18,5099,"MN","MN",27,55038,3,1,0,4,"Y",NA,5,2,49,1110,1110,33188,40488,5.9,5.7,471.366223,0,0,3,"ANOKA",27003,0.428565,2,1.79175946922805
"20",19,5100,"MN","MN",27,55070,3,1,0,2,"Y",NA,2,2,1,1900,1900,22388,22588,3.3,8.4,461.62367,0,0,3,"ANOKA",27003,0.428565,2,1.22377543162212
"21",20,5101,"MN","MN",27,55303,3,1,0,2,"Y",NA,5,2,22,1930,1930,120287,121087,1.8,14.4,471.366223,1,0,3,"ANOKA",27003,0.428565,2,0.641853886172395
"22",21,5102,"MN","MN",27,55303,3,0,0,0," ",NA,2,2,30,1630,1620,121987,122187,5.4,5.6,461.62367,0,0,3,"ANOKA",27003,0.428565,2,1.70474809223843
"23",22,5103,"MN","MN",27,55303,3,1,0,4,"Y",NA,2,2,33,1815,1815,122887,123087,6.3,6.1,461.62367,0,0,3,"ANOKA",27003,0.428565,2,1.85629799036563
"24",23,5104,"MN","MN",27,55303,3,1,0,5,"Y",NA,5,2,30,1900,1900,122887,123087,1.9,13.7,471.366223,0,0,3,"ANOKA",27003,0.428565,2,0.693147180559945
"25",24,5105,"MN","MN",27,55303,3,1,0,4,"Y",NA,2,2,37,1500,1530,10188,10188,6.6,8.9,461.62367,0,0,3,"ANOKA",27003,0.428565,2,1.90210752639692
"26",25,5106,"MN","MN",27,55303,3,1,0,2,"Y",NA,5,2,38,1000,1600,122887,123087,3.1,9.9,471.366223,0,0,3,"ANOKA",27003,0.428565,2,1.16315080980568
